"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000036864",63.9224267023932,-0.00119723531916697,0.0389718767745437,0.680858884178863,0.999631843368906,"Proser3","Proser3","333193"
"ENSMUSG00000036867",173.15312156615,0.0129356147845363,0.041649363747291,0.0611591466624626,0.874235821349179,"Smad6","Smad6","17130"
"ENSMUSG00000036872",1.82001405127839,0.000214479664966734,0.039050409554234,0.769774925946547,NA,"Abcc12","Abcc12","244562"
"ENSMUSG00000036873",249.600144585781,-0.00784445716701399,0.0396334874329887,0.24008427838328,0.999631843368906,"2410004B18Rik","2410004B18Rik","66421"
"ENSMUSG00000036875",36.2501591860406,-3.27873795813626e-05,0.0389048684723756,0.987826802602194,0.999631843368906,"Dna2","Dna2","327762"
"ENSMUSG00000036879",1594.86995750554,-0.0163517976182832,0.042582537841419,0.114820646918358,0.977675881379614,"Phkb","Phkb","102093"
"ENSMUSG00000036880",4135.98695337541,0.00246232482219007,0.0369233411653372,0.846602258397496,0.999631843368906,"Acaa2","Acaa2","52538"
"ENSMUSG00000036882",24.7582740148483,-0.00441798092493006,0.0393615035133884,0.0602802602755107,0.873692519322646,"Arhgap33","Arhgap33","233071"
"ENSMUSG00000036885",45.2438271514106,0.00226458476385058,0.039017805119581,0.484250415341863,0.999631843368906,"Arhgef26","Arhgef26","622434"
"ENSMUSG00000036887",1534.42052521454,0.00908065885833135,0.0391293766322713,0.372800991684076,0.999631843368906,"C1qa","C1qa","12259"
