,recording,pos,animal,genotype,genotype_2,control,start,dt,end,angiotensin,potassium,TTA-P2,isra,start_corr,end_corr,activity,num_events,len_seg,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,activity_pos1,freq_pos1,burst_length_pos1,burst_n_pos1,burst_per_cell_per_sec_pos1,ISI_pos1,activity_pos2,freq_pos2,burst_length_pos2,burst_n_pos2,burst_per_cell_per_sec_pos2,ISI_pos2,activity_pos3,freq_pos3,burst_length_pos3,burst_n_pos3,burst_per_cell_per_sec_pos3,ISI_pos3,freq_exist,count,rel_activity,rel_intraburst_freq,rel_freq_pos1
22,220607_slice03_rec01_ctrl_dp_results.csv,2,5255,wt,wt_ctrl,y,3600.0,0.1,9600.0,500.0,4.0,0.0,0.0,8400.0,9600.0,0.4454166666666667,53.45,120.0,33.07,0.9345328057119624,22.77777777777778,25.320370370370373,1.8888888888888888,0.015740740740740687,0.52125,1.0017899030753974,32.975,1.875,0.015624999999999964,44.278571428571425,0.4454166666666667,0.9345328057119624,25.320370370370373,1.8888888888888888,0.015740740740740687,33.07,,,,,,,1.0,18.0,1.4366134532029178,1.225933786939028,1.1639204581818372
23,220607_slice03_rec01_ctrl_dp_results.csv,3,5255,wt,wt_ctrl,y,9601.0,0.1,23040.0,500.0,4.0,0.0,0.0,14401.0,15601.0,0.36291666666666667,43.55,120.0,31.924999999999997,0.943270741952389,33.375,34.225,1.3333333333333333,0.011111111111111084,0.52125,1.0017899030753974,32.975,1.875,0.015624999999999964,44.278571428571425,0.4454166666666667,0.9345328057119624,25.320370370370373,1.8888888888888888,0.015740740740740687,33.07,0.36291666666666667,0.943270741952389,34.225,1.3333333333333333,0.011111111111111084,31.924999999999997,1.0,20.0,1.7485339782309188,1.3281288597211716,1.1639204581818372
24,220610_slice01_rec01_5TTAP2_300isra_results.csv,1,5254,wt,wt,n,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.4869047619047619,58.42857142857143,120.0,43.5,0.7007808974319849,23.9,44.370000000000005,1.4,0.01166666666666662,0.4869047619047619,0.7007808974319849,44.370000000000005,1.4,0.01166666666666662,43.5,,,,,,,,,,,,,1.0,28.0,0.8078831826894585,0.814195891493954,0.814195891493954
25,220610_slice01_rec01_5TTAP2_300isra_results.csv,2,5254,wt,wt,n,3600.0,0.1,9600.0,500.0,4.0,5.0,0.0,8400.0,9600.0,0.0651785714285714,7.821428571428571,120.0,53.8,0.9989480281467186,31.25,29.425000000000004,1.25,0.010416666666666626,0.4869047619047619,0.7007808974319849,44.370000000000005,1.4,0.01166666666666662,43.5,0.0651785714285714,0.9989480281467186,29.425000000000004,1.25,0.010416666666666626,53.8,,,,,,,1.0,6.0,0.21022206752067277,1.3104346167582648,0.814195891493954
26,220610_slice01_rec01_5TTAP2_300isra_results.csv,3,5254,wt,wt,n,9601.0,0.1,19276.0,500.0,4.0,5.0,0.3,14401.0,15601.0,0.0008928571428571394,0.10714285714285714,120.0,,,,,,,0.4869047619047619,0.7007808974319849,44.370000000000005,1.4,0.01166666666666662,43.5,0.0651785714285714,0.9989480281467186,29.425000000000004,1.25,0.010416666666666626,53.8,0.0008928571428571394,,,,,,,,0.004301789351068342,,0.814195891493954
27,220610_slice02_rec01_5TTAP2_300isra_results.csv,1,5254,wt,wt,n,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.5003787878787879,60.04545454545455,120.0,45.666666666666664,0.7262586649285822,22.416666666666668,28.26666666666667,1.8333333333333333,0.015277777777777732,0.5003787878787879,0.7262586649285822,28.26666666666667,1.8333333333333333,0.015277777777777732,45.666666666666664,,,,,,,,,,,,,1.0,22.0,0.830239585500047,0.8437970031911817,0.8437970031911817
28,220610_slice02_rec01_5TTAP2_300isra_results.csv,2,5254,wt,wt,n,3600.0,0.1,9600.0,500.0,4.0,5.0,0.0,8400.0,9600.0,0.0060606060606060545,0.7272727272727273,120.0,,,,,,,0.5003787878787879,0.7262586649285822,28.26666666666667,1.8333333333333333,0.015277777777777732,45.666666666666664,0.0060606060606060545,,,,,,,,,,,,,,0.019547423463939673,,0.8437970031911817
29,220610_slice02_rec01_5TTAP2_300isra_results.csv,3,5254,wt,wt,n,9601.0,0.1,17992.0,500.0,4.0,5.0,0.3,14401.0,15601.0,0.0,0.0,120.0,,,,,,,0.5003787878787879,0.7262586649285822,28.26666666666667,1.8333333333333333,0.015277777777777732,45.666666666666664,0.0060606060606060545,,,,,,0.0,,,,,,,,0.0,,0.8437970031911817
30,220610_slice03_rec01_ctrl_dp_results.csv,1,5254,wt,wt_ctrl,y,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.4666666666666666,56.0,120.0,28.36666666666667,0.8099119247408988,20.6,27.8,1.6,0.01333333333333328,0.4666666666666666,0.8099119247408988,27.8,1.6,0.01333333333333328,28.36666666666667,,,,,,,,,,,,,1.0,10.0,0.774303686098454,0.9409887798204455,0.9409887798204455
31,220610_slice03_rec01_ctrl_dp_results.csv,2,5254,wt,wt_ctrl,y,3600.0,0.1,9600.0,500.0,4.0,0.0,0.0,8400.0,9600.0,0.3524999999999999,42.3,120.0,20.6,0.8970708526457183,31.8,34.06,1.4,0.011666666666666641,0.4666666666666666,0.8099119247408988,27.8,1.6,0.01333333333333328,28.36666666666667,0.3524999999999999,0.8970708526457183,34.06,1.4,0.011666666666666641,20.6,,,,,,,1.0,9.0,1.1369270172213921,1.1767906496324199,0.9409887798204455
