,animal,genotype,sex,recording,cell,dt,angiotensin,potassium,len_seg,activity,activity_5min,ISI,intraburst_freq,burst_length,burst_per_cell_per_sec,pos,freq_exist,f_count,burstL_exist,b_count,isi_exist,isi_count
42,USC-2320,wt,m,200610_s4r1_Results.csv,Mean28,0.05,500,4,450.0,0.1777777777777777,0.2666666666666666,164.70000000000002,0.5996717497071353,102.05,0.0044444444444444,,1.0,16,1.0,16,1.0,10
43,USC-2320,wt,m,200610_s4r1_Results.csv,Mean4,0.05,500,4,450.0,0.2222222222222222,0.2533333333333333,202.95,0.4990857859590856,24.8,0.0044444444444444,,1.0,16,1.0,16,1.0,10
44,USC-2320,wt,m,200610_s4r1_Results.csv,Mean5,0.05,500,4,450.0,0.2488888888888888,0.3266666666666666,6.550000000000001,0.5118193994471725,45.225,0.0088888888888888,,1.0,16,1.0,16,1.0,10
45,USC-2320,wt,m,200610_s4r1_Results.csv,Mean7,0.05,500,4,450.0,0.1377777777777777,0.1866666666666666,,0.6138392857142858,89.60000000000001,0.0022222222222222,,1.0,16,1.0,16,,10
46,USC-2320,wt,m,200610_s4r1_Results.csv,Mean9,0.05,500,4,450.0,0.2266666666666666,0.2566666666666666,202.95,0.504385384112859,24.8,0.0044444444444444,,1.0,16,1.0,16,1.0,10
47,USC-2320,wt,m,200610_s5r1_Results.csv,Mean1,0.05,500,4,450.0,0.2799999999999999,0.4033333333333333,82.95,0.8616007042649234,72.9,0.0044444444444444,,1.0,25,1.0,25,1.0,21
48,USC-2320,wt,m,200610_s5r1_Results.csv,Mean10,0.05,500,4,450.0,0.24,0.25,205.0,0.5596064289818259,81.05000000000001,0.0044444444444444,,1.0,25,1.0,25,1.0,21
49,USC-2320,wt,m,200610_s5r1_Results.csv,Mean11,0.05,500,4,450.0,0.2866666666666666,0.31,102.55,0.6048980450843237,60.5,0.0066666666666666,,1.0,25,1.0,25,1.0,21
50,USC-2320,wt,m,200610_s5r1_Results.csv,Mean12,0.05,500,4,450.0,0.2777777777777777,0.33,51.45,0.4885034901995652,51.55,0.0088888888888888,,1.0,25,1.0,25,1.0,21
51,USC-2320,wt,m,200610_s5r1_Results.csv,Mean13,0.05,500,4,450.0,0.3511111111111111,0.4566666666666666,96.075,0.5900047811273373,33.125,0.0066666666666666,,1.0,25,1.0,25,1.0,21
52,USC-2320,wt,m,200610_s5r1_Results.csv,Mean15,0.05,500,4,450.0,0.4133333333333333,0.5733333333333333,127.45,0.5877776309801676,252.3,0.0044444444444444,,1.0,25,1.0,25,1.0,21
53,USC-2320,wt,m,200610_s5r1_Results.csv,Mean16,0.05,500,4,450.0,0.1777777777777777,0.2666666666666666,,0.6210526315789473,95.0,0.0022222222222222,,1.0,25,1.0,25,,21
54,USC-2320,wt,m,200610_s5r1_Results.csv,Mean17,0.05,500,4,450.0,0.2822222222222222,0.4066666666666666,63.650000000000006,0.5616554764669258,23.5,0.0066666666666666,,1.0,25,1.0,25,1.0,21
55,USC-2320,wt,m,200610_s5r1_Results.csv,Mean18,0.05,500,4,450.0,0.4133333333333333,0.5733333333333333,127.45,0.5877776309801676,252.3,0.0044444444444444,,1.0,25,1.0,25,1.0,21
56,USC-2320,wt,m,200610_s5r1_Results.csv,Mean2,0.05,500,4,450.0,0.5266666666666666,0.5433333333333332,8.950000000000001,0.7277341219245244,161.82500000000002,0.0044444444444444,,1.0,25,1.0,25,1.0,21
57,USC-2320,wt,m,200610_s5r1_Results.csv,Mean20,0.05,500,4,450.0,0.2911111111111111,0.32,235.45,0.6344170433935195,78.9,0.0044444444444444,,1.0,25,1.0,25,1.0,21
58,USC-2320,wt,m,200610_s5r1_Results.csv,Mean21,0.05,500,4,450.0,0.3266666666666666,0.4299999999999999,97.3,0.5674656312205408,76.2,0.0044444444444444,,1.0,25,1.0,25,1.0,21
59,USC-2320,wt,m,200610_s5r1_Results.csv,Mean22,0.05,500,4,450.0,0.2977777777777777,0.32,105.55,0.4749648328148497,43.900000000000006,0.0066666666666666,,1.0,25,1.0,25,1.0,21
60,USC-2320,wt,m,200610_s5r1_Results.csv,Mean23,0.05,500,4,450.0,0.1177777777777777,0.1766666666666666,,0.683311432325887,76.10000000000001,0.0022222222222222,,1.0,25,1.0,25,,21
61,USC-2320,wt,m,200610_s5r1_Results.csv,Mean24,0.05,500,4,450.0,0.1244444444444444,0.1866666666666666,,0.4946996466431094,99.05,0.0022222222222222,,1.0,25,1.0,25,,21
62,USC-2320,wt,m,200610_s5r1_Results.csv,Mean27,0.05,500,4,450.0,0.4466666666666666,0.5133333333333333,20.916666666666668,0.5638685376882616,69.425,0.0088888888888888,,1.0,25,1.0,25,1.0,21
63,USC-2320,wt,m,200610_s5r1_Results.csv,Mean28,0.05,500,4,450.0,0.3422222222222222,0.3866666666666666,37.625,0.5447030960060276,68.06666666666666,0.0066666666666666,,1.0,25,1.0,25,1.0,21
64,USC-2320,wt,m,200610_s5r1_Results.csv,Mean29,0.05,500,4,450.0,0.2799999999999999,0.2333333333333333,9.0,0.4956057472734246,46.38333333333333,0.0066666666666666,,1.0,25,1.0,25,1.0,21
65,USC-2320,wt,m,200610_s5r1_Results.csv,Mean3,0.05,500,4,450.0,0.2222222222222222,0.2166666666666666,278.85,0.7248217636695693,66.22500000000001,0.0044444444444444,,1.0,25,1.0,25,1.0,21
66,USC-2320,wt,m,200610_s5r1_Results.csv,Mean30,0.05,500,4,450.0,0.3888888888888889,0.5299999999999999,58.075,0.8419820217361907,60.28333333333333,0.0066666666666666,,1.0,25,1.0,25,1.0,21
67,USC-2320,wt,m,200610_s5r1_Results.csv,Mean31,0.05,500,4,450.0,0.4355555555555555,0.5,68.55,0.7984050180337834,118.3,0.0044444444444444,,1.0,25,1.0,25,1.0,21
68,USC-2320,wt,m,200610_s5r1_Results.csv,Mean4,0.05,500,4,450.0,0.2377777777777777,0.3466666666666666,8.05,0.6194272049194328,48.35,0.0066666666666666,,1.0,25,1.0,25,1.0,21
69,USC-2320,wt,m,200610_s5r1_Results.csv,Mean5,0.05,500,4,450.0,0.2511111111111111,0.3733333333333333,9.25,1.3345663444024096,26.666666666666668,0.0066666666666666,,1.0,25,1.0,25,1.0,21
70,USC-2320,wt,m,200610_s5r1_Results.csv,Mean6,0.05,500,4,450.0,0.2844444444444444,0.2666666666666666,37.675,0.441421081989754,49.99000000000001,0.0111111111111111,,1.0,25,1.0,25,1.0,21
71,USC-2320,wt,m,200610_s5r1_Results.csv,Mean9,0.05,500,4,450.0,0.1399999999999999,0.21,,1.0324729392173189,60.05,0.0022222222222222,,1.0,25,1.0,25,,21
72,USC-2343,wt,m,200722_s1r2_Results.csv,Mean1,0.05,500,4,450.0,0.3911111111111111,0.3033333333333333,31.15,1.362700730121583,13.766666666666667,0.0155555555555555,,1.0,6,1.0,6,1.0,6
73,USC-2343,wt,m,200722_s1r2_Results.csv,Mean2,0.05,500,4,450.0,0.5955555555555555,0.5633333333333332,78.775,1.5067942551384632,51.525,0.0066666666666666,,1.0,6,1.0,6,1.0,6
74,USC-2343,wt,m,200722_s1r2_Results.csv,Mean3,0.05,500,4,450.0,0.7066666666666667,0.6966666666666667,70.65,1.1386771089303205,55.05,0.0088888888888888,,1.0,6,1.0,6,1.0,6
75,USC-2343,wt,m,200722_s1r2_Results.csv,Mean4,0.05,500,4,450.0,0.951111111111111,1.0966666666666665,76.7,1.2585428114288737,13.45,0.0066666666666666,,1.0,6,1.0,6,1.0,6
76,USC-2343,wt,m,200722_s1r2_Results.csv,Mean5,0.05,500,4,450.0,1.302222222222222,1.4799999999999998,70.175,1.7764285935115105,161.35000000000002,0.0066666666666666,,1.0,6,1.0,6,1.0,6
77,USC-2343,wt,m,200722_s1r2_Results.csv,Mean6,0.05,500,4,450.0,0.7244444444444444,0.5833333333333333,94.3,1.137777408188669,37.25,0.0066666666666666,,1.0,6,1.0,6,1.0,6
78,USC-2343,wt,m,200722_s2r2_Results.csv,Mean1,0.05,500,4,450.0,0.8688888888888888,0.6766666666666666,122.4,1.794500742094625,112.9,0.0044444444444444,,1.0,11,1.0,11,1.0,10
79,USC-2343,wt,m,200722_s2r2_Results.csv,Mean10,0.05,500,4,450.0,0.3355555555555555,0.49,,1.6599885518030908,87.35000000000001,0.0022222222222222,,1.0,11,1.0,11,,10
80,USC-2343,wt,m,200722_s2r2_Results.csv,Mean11,0.05,500,4,450.0,0.1977777777777777,0.2966666666666666,115.1,1.3147645266033865,12.3,0.0044444444444444,,1.0,11,1.0,11,1.0,10
81,USC-2343,wt,m,200722_s2r2_Results.csv,Mean14,0.05,500,4,450.0,0.711111111111111,0.5466666666666666,103.9,1.3877123293576858,113.35,0.0044444444444444,,1.0,11,1.0,11,1.0,10
82,USC-2343,wt,m,200722_s2r2_Results.csv,Mean15,0.05,500,4,450.0,0.4244444444444444,0.61,152.15,1.2559213385484571,96.0,0.0044444444444444,,1.0,11,1.0,11,1.0,10
83,USC-2343,wt,m,200722_s2r2_Results.csv,Mean2,0.05,500,4,450.0,0.4911111111111111,0.49,143.45000000000002,1.269729380281225,109.05,0.0044444444444444,,1.0,11,1.0,11,1.0,10
84,USC-2343,wt,m,200722_s2r2_Results.csv,Mean4,0.05,500,4,450.0,0.991111111111111,0.7599999999999999,120.8,1.8139036041657568,121.1,0.0044444444444444,,1.0,11,1.0,11,1.0,10
85,USC-2343,wt,m,200722_s2r2_Results.csv,Mean5,0.05,500,4,450.0,0.5955555555555555,0.5433333333333332,173.15,1.3249388076155408,107.7,0.0044444444444444,,1.0,11,1.0,11,1.0,10
86,USC-2343,wt,m,200722_s2r2_Results.csv,Mean6,0.05,500,4,450.0,0.7466666666666667,0.7166666666666667,132.85,1.945514078682176,83.775,0.0044444444444444,,1.0,11,1.0,11,1.0,10
87,USC-2343,wt,m,200722_s2r2_Results.csv,Mean8,0.05,500,4,450.0,0.8977777777777777,0.67,82.15,1.845273735887402,66.7,0.0066666666666666,,1.0,11,1.0,11,1.0,10
88,USC-2343,wt,m,200722_s2r2_Results.csv,Mean9,0.05,500,4,450.0,0.3555555555555555,0.4066666666666666,78.4,1.0183854731711026,53.3,0.0066666666666666,,1.0,11,1.0,11,1.0,10
89,2388,wt,m,200724_s1r2_Results.csv,Mean1,0.05,500,4,450.0,0.6155555555555555,0.66,28.200000000000003,1.746312847133121,22.821428571428577,0.0155555555555555,,1.0,9,1.0,9,1.0,9
90,2388,wt,m,200724_s1r2_Results.csv,Mean10,0.05,500,4,450.0,0.5711111111111111,0.8133333333333332,159.4,1.3967611336032388,123.5,0.0044444444444444,,1.0,9,1.0,9,1.0,9
91,2388,wt,m,200724_s1r2_Results.csv,Mean11,0.05,500,4,450.0,0.5088888888888888,0.6866666666666666,4.2,0.9789897857764832,106.675,0.0044444444444444,,1.0,9,1.0,9,1.0,9
92,2388,wt,m,200724_s1r2_Results.csv,Mean12,0.05,500,4,450.0,0.5911111111111111,0.7366666666666667,58.3,1.4726916963311063,33.739999999999995,0.0111111111111111,,1.0,9,1.0,9,1.0,9
93,2388,wt,m,200724_s1r2_Results.csv,Mean2,0.05,500,4,450.0,0.1955555555555555,0.2933333333333333,18.1,0.8123235175473981,40.9,0.0044444444444444,,1.0,9,1.0,9,1.0,9
94,2388,wt,m,200724_s1r2_Results.csv,Mean4,0.05,500,4,450.0,1.0599999999999998,1.2333333333333334,35.362500000000004,1.619600831975103,56.337500000000006,0.0111111111111111,,1.0,9,1.0,9,1.0,9
95,2388,wt,m,200724_s1r2_Results.csv,Mean5,0.05,500,4,450.0,0.2577777777777778,0.29,75.4,1.8556602885381983,14.9875,0.0088888888888888,,1.0,9,1.0,9,1.0,9
96,2388,wt,m,200724_s1r2_Results.csv,Mean8,0.05,500,4,450.0,0.2622222222222222,0.2833333333333333,36.1875,1.0503947755745648,20.45,0.0111111111111111,,1.0,9,1.0,9,1.0,9
97,2388,wt,m,200724_s1r2_Results.csv,Mean9,0.05,500,4,450.0,0.8333333333333333,0.93,32.15,1.1258336966835154,79.475,0.0088888888888888,,1.0,9,1.0,9,1.0,9
98,3832,wt,m,210225_s1r2_Results.csv,Mean1,0.1,500,4,450.0,0.84,0.8966666666666667,13.166666666666666,0.8915602131311745,72.96666666666668,0.0088888888888888,1.0,1.0,29,1.0,23,1.0,25
99,3832,wt,m,210225_s1r2_Results.csv,Mean10,0.1,500,4,450.0,1.6955555555555553,1.5366666666666666,22.9,1.4466113929404316,10.3,0.0044444444444444,1.0,1.0,29,1.0,23,1.0,25
100,3832,wt,m,210225_s1r2_Results.csv,Mean11,0.1,500,4,450.0,1.5399999999999998,1.586666666666667,,1.5401736033830402,,,1.0,1.0,29,,23,,25
101,3832,wt,m,210225_s1r2_Results.csv,Mean12,0.1,500,4,450.0,0.3888888888888889,0.4366666666666666,29.31666666666667,1.0911037870489968,18.47142857142857,0.0155555555555555,1.0,1.0,29,1.0,23,1.0,25
102,3832,wt,m,210225_s1r2_Results.csv,Mean13,0.1,500,4,450.0,0.7177777777777777,0.7333333333333333,29.0,0.8460314351651828,81.35000000000001,0.0088888888888888,1.0,1.0,29,1.0,23,1.0,25
103,3832,wt,m,210225_s1r2_Results.csv,Mean14,0.1,500,4,450.0,0.8866666666666667,0.9966666666666666,57.3,1.2248637648528782,160.55,0.0044444444444444,1.0,1.0,29,1.0,23,1.0,25
104,3832,wt,m,210225_s1r2_Results.csv,Mean15,0.1,500,4,450.0,0.6377777777777778,0.5066666666666666,62.45,0.7498835599559786,47.8,0.0066666666666666,1.0,1.0,29,1.0,23,1.0,25
105,3832,wt,m,210225_s1r2_Results.csv,Mean16,0.1,500,4,450.0,1.351111111111111,1.3833333333333333,,1.3524955436720143,,,1.0,1.0,29,,23,,25
106,3832,wt,m,210225_s1r2_Results.csv,Mean17,0.1,500,4,450.0,1.011111111111111,1.1733333333333331,25.85,1.0559610815658589,22.433333333333337,0.0111111111111111,1.0,1.0,29,1.0,23,1.0,25
107,3832,wt,m,210225_s1r2_Results.csv,Mean18,0.1,500,4,450.0,0.98,0.9766666666666666,9.15,1.0336291797967083,18.1,0.0066666666666666,1.0,1.0,29,1.0,23,1.0,25
108,3832,wt,m,210225_s1r2_Results.csv,Mean19,0.1,500,4,450.0,1.4177777777777778,1.4233333333333331,,1.4209234887352218,,,1.0,1.0,29,,23,,25
109,3832,wt,m,210225_s1r2_Results.csv,Mean2,0.1,500,4,450.0,0.5822222222222222,0.4466666666666666,92.6,1.037574594524313,113.4,0.0066666666666666,1.0,1.0,29,1.0,23,1.0,25
110,3832,wt,m,210225_s1r2_Results.csv,Mean20,0.1,500,4,450.0,0.811111111111111,0.8233333333333333,13.55,0.8361004705410698,85.5,0.0111111111111111,1.0,1.0,29,1.0,23,1.0,25
111,3832,wt,m,210225_s1r2_Results.csv,Mean21,0.1,500,4,450.0,1.5777777777777775,1.5799999999999998,48.2,1.7494593556732283,,,1.0,1.0,29,,23,1.0,25
