,bin,baseline_ca,pos,cell,recording,animal,ctrl
161,17.0,899.6697194948902,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
162,18.0,849.3443590734383,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
163,19.0,833.8090437464315,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
164,20.0,879.7746842918755,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
165,21.0,862.7908112558492,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
166,22.0,864.0148369849563,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
167,23.0,904.3911515161299,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
168,24.0,894.3749761731942,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
169,25.0,889.9616808775667,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
170,26.0,,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
171,27.0,,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
172,28.0,1075.672138683101,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
173,29.0,1054.3188288105962,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
174,30.0,1076.3142258775379,4,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
175,-4.0,892.0419654431314,1,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
176,-3.0,928.206768226678,1,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
177,-2.0,920.1849663131892,1,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
178,-1.0,941.5326858635153,1,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
179,0.0,931.5191007857585,1,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
180,1.0,930.4108888604205,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
181,2.0,886.7638759885189,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
182,3.0,899.0370401018519,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
183,4.0,980.9059641806317,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
184,5.0,929.4240224350667,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
185,6.0,871.2224557897835,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
186,7.0,833.5183257833511,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
187,8.0,829.1024332670357,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
188,9.0,851.2870234197076,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
189,10.0,839.9810405186275,2,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
190,11.0,858.680199156453,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
191,12.0,825.0496750342056,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
192,13.0,791.7551840668075,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
193,14.0,837.0292370354748,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
194,15.0,827.7757171411303,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
195,16.0,815.1577274659169,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
196,17.0,821.9168366366613,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
197,18.0,,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
198,19.0,846.8331566308517,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
199,20.0,802.5792140047583,3,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
200,21.0,800.076858216802,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
201,22.0,,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
202,23.0,828.6081419842302,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
203,24.0,804.3709904115858,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
204,25.0,,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
205,26.0,,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
206,27.0,797.7258065394856,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
207,28.0,785.6808466028165,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
208,29.0,789.514999037409,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
209,30.0,,4,Mean18,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
210,-4.0,664.3254965614046,1,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
211,-3.0,656.0377180749036,1,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
212,-2.0,645.1532190063567,1,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
213,-1.0,625.4937234500086,1,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
214,0.0,622.550336578307,1,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
215,1.0,626.8803340983925,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
216,2.0,611.3896663573355,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
217,3.0,632.8401380131417,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
218,4.0,629.4670247086955,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
219,5.0,626.2640592108362,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
220,6.0,630.7219665416407,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
221,7.0,620.7932114619485,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
222,8.0,637.5252106212658,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
223,9.0,676.16184023876,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
224,10.0,633.9916222030242,2,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
225,11.0,694.1325030460389,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
226,12.0,680.6650487794461,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
227,13.0,650.0616878116996,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
228,14.0,682.2523216746706,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
229,15.0,687.0181931908027,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
230,16.0,681.1697589660325,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
