,recording,pos,animal,genotype_2,control,genotype,start,dt,end,angiotensin,potassium,TTA-P2,isra,start_corr,end_corr,activity,num_events,len_seg,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,activity_pos1,freq_pos1,activity_pos2,freq_pos2,freq_exist,count,rel_activity,rel_intraburst_freq
26,220204_slice04_rec01_isra_Results.csv,1,4693,KO,n,KO,0.0,0.10000000000000002,6600.0,500.0,4.0,,0.0,5400.0,6600.0,0.8486111111111111,101.83333333333333,120.0,7.1800000000000015,1.3277466746986397,42.233333333333334,28.936666666666667,2.6,0.02166666666666664,0.8486111111111111,1.3277466746986397,,,1.0,6.0,0.7010380892912894,0.9393856370071685
27,220204_slice04_rec01_isra_Results.csv,2,4693,KO,n,KO,6601.0,0.10000000000000002,11700.0,500.0,4.0,,0.05000000000000001,9901.0,11101.0,0.0736111111111111,8.833333333333334,120.0,41.95,1.4598639455782312,16.0,11.9,3.0,0.025,0.8486111111111111,1.3277466746986397,0.0736111111111111,1.4598639455782312,1.0,1.0,0.08415742656073624,1.0757799228825051
28,220211_slice05_rec01_ctrl_Results.csv,1,4689,KO_ctrl,y,KO,0.0,0.1,5150.0,500.0,4.0,0.0,,3950.0,5150.0,1.382142857142857,165.85714285714286,120.0,7.455555555555556,1.6344350443363354,31.5,20.8,2.6666666666666665,0.0222222222222222,1.382142857142857,1.6344350443363354,,,1.0,7.0,1.1417889478613796,1.1563687821844568
29,220211_slice05_rec01_ctrl_Results.csv,2,4689,KO_ctrl,y,KO,5151.0,0.1,12000.0,500.0,4.0,0.0,,8451.0,9651.0,0.7226190476190475,86.71428571428571,120.0,13.066666666666668,1.659552102147392,48.125,27.175,2.25,0.01874999999999995,1.382142857142857,1.6344350443363354,0.7226190476190475,1.659552102147392,1.0,5.0,0.8261491847283057,1.2229309709820144
30,220217_slice01_rec01_ctrl_Results.csv,1,4812,wt_ctrl,y,wt,0.0,0.1,3450.0,500.0,4.0,0.0,,2250.0,3450.0,0.80375,96.45,120.0,28.512500000000003,0.9213898710421218,24.5,34.983333333333334,2.6666666666666665,0.0222222222222222,0.80375,0.9213898710421218,,,1.0,20.0,1.2463449126037014,1.022935905174822
31,220217_slice01_rec01_ctrl_Results.csv,2,4812,wt_ctrl,y,wt,3451.0,0.1,17080.0,500.0,4.0,0.0,,6751.0,7951.0,0.53125,63.75,120.0,,0.771035507446981,37.333333333333336,54.5,1.0,0.0083333333333333,0.80375,0.9213898710421218,0.53125,0.771035507446981,1.0,16.0,1.1819529298040283,0.937040709970256
32,220217_slice04_rec01_isra_Results.csv,1,4812,wt,n,wt,0.0,0.1,4800.0,500.0,4.0,,0.0,3600.0,4800.0,0.5568181818181818,66.81818181818181,120.0,12.800000000000002,1.2648901173536613,26.375,19.2875,2.25,0.018749999999999975,0.5568181818181818,1.2648901173536613,,,1.0,9.0,0.8634370241422504,1.4042931855528322
33,220217_slice04_rec01_isra_Results.csv,2,4812,wt,n,wt,4801.0,0.1,10805.0,500.0,4.0,,0.05,8101.0,9301.0,0.43560606060606055,52.27272727272727,120.0,37.900000000000006,1.26824584913726,24.833333333333332,20.333333333333332,2.0,0.016666666666666635,0.5568181818181818,1.2648901173536613,0.43560606060606055,1.26824584913726,1.0,7.0,0.9691592650799519,1.5413012493126024
34,220405_slice03_rec01_isra_results.csv,1,4686,KO,n,KO,0.0,0.1,6050.0,500.0,4.0,,0.0,4850.0,6050.0,1.1619047619047618,139.42857142857142,120.0,12.428571428571429,1.3823064693211653,38.86111111111111,28.89166666666667,2.6666666666666665,0.0222222222222222,1.1619047619047618,1.3823064693211653,,,1.0,14.0,0.9598501404932874,0.9779868916012305
35,220405_slice03_rec01_isra_results.csv,2,4686,KO,n,KO,6001.0,0.1,12797.0,500.0,4.0,,0.05,9301.0,10501.0,0.07202380952380949,8.642857142857142,120.0,10.7,1.306676587301587,18.125,12.9625,1.25,0.010416666666666626,1.1619047619047618,1.3823064693211653,0.07202380952380949,1.306676587301587,1.0,4.0,0.08234271116320013,0.962895509939387
36,220405_slice04_rec01_ctrl_results.csv,1,4686,KO_ctrl,y,KO,0.0,0.1,6080.0,500.0,4.0,0.0,,4880.0,6080.0,1.0395833333333333,124.75,120.0,18.085714285714285,1.297210146679296,48.375,35.725,2.0,0.0166666666666666,1.0395833333333333,1.297210146679296,,,1.0,8.0,0.8588003434280361,0.9177809315523804
37,220405_slice04_rec01_ctrl_results.csv,2,4686,KO_ctrl,y,KO,6080.0,0.1,14080.0,500.0,4.0,0.0,,9380.0,10580.0,0.6489583333333333,77.875,120.0,3.6625,1.1116836368798286,56.047619047619044,45.37619047619047,2.0,0.016666666666666614,1.0395833333333333,1.297210146679296,0.6489583333333333,1.1116836368798286,1.0,7.0,0.7419350483113965,0.819204379130437
38,220406_slice01_rec01_ctrl_results.csv,1,4690,KO_ctrl,y,KO,0.0,0.1,6000.0,500.0,4.0,0.0,,4800.0,6000.0,1.406547619047619,168.78571428571428,120.0,8.1875,1.6367967989311014,28.375,24.512500000000003,2.0,0.01666666666666665,1.406547619047619,1.6367967989311014,,,1.0,14.0,1.1619497346237901,1.1580397322133562
39,220406_slice01_rec01_ctrl_results.csv,2,4690,KO_ctrl,y,KO,6001.0,0.1,10540.0,500.0,4.0,0.0,,9301.0,10501.0,1.3684523809523808,164.21428571428572,120.0,35.9375,1.6134491766630863,41.25,32.8875,2.0,0.016666666666666625,1.406547619047619,1.6367967989311014,1.3684523809523808,1.6134491766630863,1.0,14.0,1.5645115121008029,1.1889575299826753
40,220406_slice02_rec01_isra_results.csv,1,4690,KO,n,KO,0.0,0.1,6000.0,500.0,4.0,,0.0,4800.0,6000.0,1.3526041666666666,162.3125,120.0,18.994444444444444,1.606223858848459,13.0,11.1,3.5,0.02916666666666665,1.3526041666666666,1.606223858848459,,,1.0,14.0,1.1173870199812674,1.136409265090376
41,220406_slice02_rec01_isra_results.csv,2,4690,KO,n,KO,6001.0,0.1,13122.0,500.0,4.0,,0.05,9301.0,10501.0,0.20052083333333331,24.0625,120.0,11.575,1.5843473736787097,41.5,25.525000000000002,2.0,0.0166666666666666,1.3526041666666666,1.606223858848459,0.20052083333333331,1.5843473736787097,1.0,5.0,0.22924959357936409,1.1675122881400362
42,220407_slice01_rec01_ctrl_untitled_results.csv,1,4774,KO_ctrl,y,KO,0.0,0.1,6040.0,500.0,4.0,0.0,,4840.0,6040.0,1.513425925925926,181.61111111111111,120.0,10.38,1.5893129327010465,46.875,35.9125,2.75,0.022916666666666627,1.513425925925926,1.5893129327010465,,,1.0,18.0,1.2502419606618795,1.1244447228820713
43,220407_slice01_rec01_ctrl_untitled_results.csv,2,4774,KO_ctrl,y,KO,6041.0,0.1,14730.0,500.0,4.0,0.0,,9341.0,10541.0,1.050462962962963,126.05555555555556,120.0,12.122222222222222,1.399687971269212,16.5,16.75,2.5,0.0208333333333333,1.513425925925926,1.5893129327010465,1.050462962962963,1.399687971269212,1.0,16.0,1.2009635274610728,1.0314359926158425
44,220407_slice03_rec01_isra_results.csv,1,4774,KO,n,KO,0.0,0.1,6080.0,500.0,4.0,,0.0,4880.0,6080.0,1.797222222222222,215.66666666666666,120.0,12.088888888888889,1.928834693629953,45.0,30.594444444444445,4.0,0.0333333333333333,1.797222222222222,1.928834693629953,,,1.0,15.0,1.4846862316578207,1.3646576126943444
45,220407_slice03_rec01_isra_results.csv,2,4774,KO,n,KO,6081.0,0.1,12323.0,500.0,4.0,,0.05,9381.0,10581.0,0.08555555555555554,10.266666666666667,120.0,,1.5000577408655662,12.0,9.0,1.0,0.0083333333333333,1.797222222222222,1.928834693629953,0.08555555555555554,1.5000577408655662,1.0,4.0,0.09781315992719533,1.105398900819136
46,220407_slice04_rec01_isra_results.csv,1,4774,KO,n,KO,0.0,0.1,6080.0,500.0,4.0,,0.0,4880.0,6080.0,1.1622549019607842,139.47058823529412,120.0,22.562962962962963,1.458411230859971,17.5,14.058333333333334,2.75,0.02291666666666665,1.1622549019607842,1.458411230859971,,,1.0,17.0,0.9601393913794052,1.031831289225978
47,220407_slice04_rec01_isra_results.csv,2,4774,KO,n,KO,6001.0,0.1,12759.0,500.0,4.0,,0.05,9301.0,10501.0,0.08970588235294118,10.764705882352942,120.0,28.85,1.1696854543750548,23.375,18.137500000000003,1.75,0.0145833333333333,1.1622549019607842,1.458411230859971,0.08970588235294118,1.1696854543750548,1.0,5.0,0.10255810695192942,0.8619461640351562
48,220408_slice01_rec01_ctrl_Results.csv,1,4773,KO_ctrl,y,KO,0.0,0.1,6000.0,500.0,4.0,0.0,,4800.0,6000.0,1.1577380952380951,138.92857142857142,120.0,9.764285714285716,1.236230128802573,47.75,33.1,3.0,0.024999999999999967,1.1577380952380951,1.236230128802573,,,1.0,14.0,0.9564080549484857,0.8746373454832714
49,220408_slice01_rec01_ctrl_Results.csv,2,4773,KO_ctrl,y,KO,6001.0,0.1,13363.0,500.0,4.0,0.0,,9301.0,10501.0,0.8803571428571428,105.64285714285714,120.0,17.599999999999998,1.2235755705645255,28.059523809523807,24.726190476190478,3.0,0.024999999999999956,1.1577380952380951,1.236230128802573,0.8803571428571428,1.2235755705645255,1.0,13.0,1.006486527358455,0.9016580188378142
50,220408_slice02_rec01_isra_results.csv,1,4773,KO,n,KO,0.0,0.1,5700.0,500.0,4.0,,0.0,4500.0,5700.0,1.505952380952381,180.71428571428572,120.0,4.4,1.5519668660913808,38.166666666666664,34.78333333333334,2.6666666666666665,0.0222222222222222,1.505952380952381,1.5519668660913808,,,1.0,14.0,1.2440680611926318,1.0980222439255372
51,220408_slice02_rec01_isra_results.csv,2,4773,KO,n,KO,5701.0,0.1,12685.0,500.0,4.0,,0.05,9001.0,10201.0,0.15535714285714283,18.642857142857142,120.0,20.200000000000003,1.3820701291049498,30.4,21.3,1.4,0.011666666666666641,1.505952380952381,1.5519668660913808,0.15535714285714283,1.3820701291049498,1.0,6.0,0.17761526953384496,1.0184533301271683
52,220601_slice03_rec01_ctrl_dp_results.csv,1,5250,wt_ctrl,y,wt,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.681060606060606,81.72727272727273,120.0,25.970000000000006,1.4145681263238101,38.72222222222222,28.727777777777778,1.6666666666666667,0.013888888888888846,0.681060606060606,1.4145681263238101,,,1.0,11.0,1.056095081229773,1.5704671520817575
53,220601_slice03_rec01_ctrl_dp_results.csv,2,5250,wt_ctrl,y,wt,3600.0,0.1,9600.0,500.0,4.0,0.0,0.0,6900.0,8100.0,0.3106060606060606,37.27272727272727,120.0,30.04,1.103384711711314,31.642857142857142,30.650000000000002,1.7142857142857142,0.01428571428571423,0.681060606060606,1.4145681263238101,0.3106060606060606,1.103384711711314,1.0,9.0,0.6910526933613571,1.3409452400652138
54,220603_slice03_rec01_ctrl_dp_results.csv,1,5251,wt_ctrl,y,wt,0.0,0.1,3900.0,500.0,4.0,0.0,0.0,2700.0,3900.0,0.7054487179487179,84.65384615384616,120.0,27.991666666666664,0.8805651688741835,20.25,24.450000000000003,2.5,0.0208333333333333,0.7054487179487179,0.8805651688741835,,,1.0,26.0,1.0939128096027224,0.977611927803094
55,220603_slice03_rec01_ctrl_dp_results.csv,2,5251,wt_ctrl,y,wt,3900.0,0.1,9900.0,500.0,4.0,0.0,0.0,7200.0,8400.0,0.4314102564102563,51.76923076923077,120.0,35.50000000000001,0.7413434141429843,22.857142857142858,37.785714285714285,1.2857142857142858,0.010714285714285673,0.7054487179487179,0.8805651688741835,0.4314102564102563,0.7413434141429843,1.0,24.0,0.959824219315971,0.9009558605419781
56,220603_slice04_rec01_isra_results.csv,1,5251,wt,n,wt,0.0,0.1,6000.0,500.0,4.0,,0.0,4800.0,6000.0,0.5333333333333333,64.0,120.0,19.725,0.7317922075582782,32.75,41.525,1.75,0.014583333333333275,0.5333333333333333,0.7317922075582782,,,1.0,22.0,0.8270199523757066,0.8124427538929252
57,220603_slice04_rec01_isra_results.csv,2,5251,wt,n,wt,6001.0,0.1,16300.0,500.0,4.0,,0.05,9301.0,10501.0,0.48787878787878786,58.54545454545455,120.0,18.575,0.635742127741497,22.166666666666668,34.6,1.8333333333333333,0.015277777777777732,0.5333333333333333,0.7317922075582782,0.48787878787878786,0.635742127741497,1.0,21.0,1.0854583768895463,0.7726184449136501
58,220607_slice03_rec01_ctrl_dp_results.csv,1,5255,wt_ctrl,y,wt,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.52125,62.55,120.0,44.278571428571425,1.0017899030753974,33.0,32.975,1.875,0.015624999999999964,0.52125,1.0017899030753974,,,1.0,18.0,0.8082827815796945,1.1121967947600557
59,220607_slice03_rec01_ctrl_dp_results.csv,2,5255,wt_ctrl,y,wt,3600.0,0.1,9600.0,500.0,4.0,0.0,0.0,6900.0,8100.0,0.3737499999999999,44.85,120.0,27.766666666666666,0.9299709457544244,19.37878787878788,20.772727272727273,1.7272727272727273,0.014393939393939346,0.52125,1.0017899030753974,0.3737499999999999,0.9299709457544244,1.0,18.0,0.8315386494385987,1.1301952074124915
60,220607_slice04_rec01_isra_results.csv,1,5255,wt,n,wt,0.0,0.1,6000.0,500.0,4.0,,0.0,4800.0,6000.0,0.37499999999999994,45.0,120.0,37.739999999999995,0.6156463516604564,18.875,33.800000000000004,1.75,0.014583333333333275,0.37499999999999994,0.6156463516604564,,,1.0,11.0,0.5814984040141686,0.6834965065234321
