"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000107470",1.85950532821362,0.00463495909038366,0.124265936884346,0.55566416251973,NA,"Gm3375","Gm3375","100041503"
"ENSMUSG00000107471",0,NA,NA,NA,NA,"Gm44147","Gm44147",NA
"ENSMUSG00000107474",0,NA,NA,NA,NA,"Gm43932","Gm43932",NA
"ENSMUSG00000107475",0,NA,NA,NA,NA,"Gm19177","Gm19177","100418388"
"ENSMUSG00000107476",190.334779565387,0.0287825389022153,0.111358265234302,0.598544095190561,0.83599506210028,"Zfp862-ps","Zfp862-ps","58894"
"ENSMUSG00000107478",7.47941236440532,-0.00111661762801452,0.124324381691528,0.770722751226834,NA,"Gm45234","Gm45234",NA
"ENSMUSG00000107482",0.762755090022258,0.00312233502644939,0.12441941516395,0.405781001994152,NA,"Etfbl","Etfbl",NA
"ENSMUSG00000107484",0,NA,NA,NA,NA,"Nasp-ps1","Nasp-ps1","667099"
"ENSMUSG00000107486",0.551155482893341,0.00325058500556285,0.124416804748325,0.464165028012552,NA,"Trbv4","Trbv4","100124660"
"ENSMUSG00000107487",0.186222160538161,0.00204023855450221,0.124375842509048,0.779841061172053,NA,"Gm44156","Gm44156",NA
"ENSMUSG00000107489",0,NA,NA,NA,NA,"Gm18325","Gm18325","100416930"
"ENSMUSG00000107490",0,NA,NA,NA,NA,"Gm44058","Gm44058",NA
"ENSMUSG00000107491",1.72594222139476,0.00171758951568782,0.124083925352727,0.846759742786756,NA,"Gm17893","Gm17893","100416053"
"ENSMUSG00000107492",0,NA,NA,NA,NA,"Gm6590","Gm6590","625473"
"ENSMUSG00000107493",0,NA,NA,NA,NA,"Gm44048","Gm44048",NA
"ENSMUSG00000107499",62.5018364741714,-0.0334510266298567,0.122753084648554,0.411084414156572,0.710510438299141,"Ccdc142","Ccdc142","243510"
"ENSMUSG00000107500",0,NA,NA,NA,NA,"Gm2796","Gm2796","100040478"
"ENSMUSG00000107501",0,NA,NA,NA,NA,"Gm29781","Gm29781",NA
"ENSMUSG00000107504",0.186222160538161,0.00204023855450221,0.124375842509048,0.779841061172053,NA,"Gm35549","Gm35549","102639178"
"ENSMUSG00000107505",0,NA,NA,NA,NA,"Stambp-ps1","Stambp-ps1","100416267"
"ENSMUSG00000107506",0,NA,NA,NA,NA,"Gm19254","Gm19254",NA
"ENSMUSG00000107508",0.705812336492619,0.000404352747641137,0.124273438820869,0.935104707061821,NA,"Gm44083","Gm44083","108169191"
"ENSMUSG00000107510",0,NA,NA,NA,NA,"Gm44057","Gm44057",NA
"ENSMUSG00000107513",0,NA,NA,NA,NA,"Tgif2-ps1","Tgif2-ps1",NA
"ENSMUSG00000107514",0,NA,NA,NA,NA,"Gm32381","Gm32381",NA
"ENSMUSG00000107518",0,NA,NA,NA,NA,"Gm44016","Gm44016",NA
"ENSMUSG00000107519",0,NA,NA,NA,NA,"Gm26996","Gm26996",NA
